asset,kalshi_ticker,poly_slug,direction,window_start,close_time,combined_cost,cost_a,cost_b,logged_at,kalshi_outcome,polymarket_outcome,payout,profit,settled_at
BTC,KXBTC15M-26SEP100045-45,btc-updown-15m-1789014600,A,2026-09-10T04:30:00+00:00,2026-09-10T04:45:00Z,0.78,0.78,1.22,2026-09-10T04:35:26.453829+00:00,down,down,1.0,0.22,2026-09-10T04:51:09.070450+00:00
BTC,KXBTC15M-26SEP100100-00,btc-updown-15m-1789015500,A,2026-09-10T04:45:00+00:00,2026-09-10T05:00:00Z,0.78,0.78,1.22,2026-09-10T04:50:57.989190+00:00,up,up,1.0,0.22,2026-09-10T05:05:31.408293+00:00
ETH,KXETH15M-26SEP100100-00,eth-updown-15m-1789015500,B,2026-09-10T04:45:00+00:00,2026-09-10T05:00:00Z,0.7,1.31,0.7,2026-09-10T04:53:09.943703+00:00,up,up,1.0,0.3,2026-09-10T05:05:37.368736+00:00
BTC,KXBTC15M-26SEP100115-15,btc-updown-15m-1789016400,B,2026-09-10T05:00:00+00:00,2026-09-10T05:15:00Z,0.77,1.2,0.77,2026-09-10T05:12:13.935626+00:00,up,up,1.0,0.23,2026-09-10T05:17:16.851673+00:00
ETH,KXETH15M-26SEP100115-15,eth-updown-15m-1789016400,B,2026-09-10T05:00:00+00:00,2026-09-10T05:15:00Z,0.74,1.26,0.74,2026-09-10T05:11:24.425292+00:00,up,up,1.0,0.26,2026-09-10T05:17:50.815522+00:00
BTC,KXBTC15M-26SEP100130-30,btc-updown-15m-1789017300,B,2026-09-10T05:15:00+00:00,2026-09-10T05:30:00Z,0.79,1.19,0.79,2026-09-10T05:28:20.634635+00:00,up,up,1.0,0.21,2026-09-10T05:33:13.449946+00:00
ETH,KXETH15M-26SEP100130-30,eth-updown-15m-1789017300,A,2026-09-10T05:15:00+00:00,2026-09-10T05:30:00Z,0.76,0.76,1.24,2026-09-10T05:16:30.320430+00:00,up,up,1.0,0.24,2026-09-10T05:35:24.783696+00:00
BTC,KXBTC15M-26SEP100145-45,btc-updown-15m-1789018200,A,2026-09-10T05:30:00+00:00,2026-09-10T05:45:00Z,0.78,0.78,1.21,2026-09-10T05:35:51.587483+00:00,down,down,1.0,0.22,2026-09-10T05:48:24.889847+00:00
ETH,KXETH15M-26SEP100145-45,eth-updown-15m-1789019100,B,2026-09-10T05:45:00+00:00,2026-09-10T05:45:00Z,0.521,1.47,0.521,2026-09-10T05:45:20.523914+00:00,down,up,0.0,-0.521,2026-09-10T06:03:16.556786+00:00
BTC,KXBTC15M-26SEP100200-00,btc-updown-15m-1789019100,A,2026-09-10T05:45:00+00:00,2026-09-10T06:00:00Z,0.78,0.78,1.19,2026-09-10T05:51:53.895189+00:00,up,up,1.0,0.22,2026-09-10T06:03:58.757551+00:00
ETH,KXETH15M-26SEP100200-00,eth-updown-15m-1789020000,A,2026-09-10T06:00:00+00:00,2026-09-10T06:00:00Z,0.501,0.501,1.49,2026-09-10T06:00:03.967127+00:00,up,down,0.0,-0.501,2026-09-10T06:19:56.211223+00:00
BTC,KXBTC15M-26SEP100215-15,btc-updown-15m-1789020900,B,2026-09-10T06:15:00+00:00,2026-09-10T06:15:00Z,0.491,1.5,0.491,2026-09-10T06:15:21.418790+00:00,down,down,1.0,0.509,2026-09-10T06:32:54.886055+00:00
ETH,KXETH15M-26SEP100215-15,eth-updown-15m-1789020900,B,2026-09-10T06:15:00+00:00,2026-09-10T06:15:00Z,0.551,1.44,0.551,2026-09-10T06:15:21.418790+00:00,down,down,1.0,0.449,2026-09-10T06:34:29.942948+00:00
BTC,KXBTC15M-26SEP100245-45,btc-updown-15m-1789021800,A,2026-09-10T06:30:00+00:00,2026-09-10T06:45:00Z,0.76,0.76,1.23,2026-09-10T06:31:13.513173+00:00,down,down,1.0,0.24,2026-09-10T06:49:37.017532+00:00
BTC,KXBTC15M-26SEP100300-00,btc-updown-15m-1789022700,A,2026-09-10T06:45:00+00:00,2026-09-10T07:00:00Z,0.76,0.76,1.25,2026-09-10T06:45:56.864057+00:00,up,up,1.0,0.24,2026-09-10T09:00:26.075501+00:00
ETH,KXETH15M-26SEP100300-00,eth-updown-15m-1789022700,B,2026-09-10T06:45:00+00:00,2026-09-10T07:00:00Z,0.79,1.22,0.79,2026-09-10T06:46:58.769295+00:00,up,up,1.0,0.21,2026-09-10T09:00:26.075501+00:00
BTC,KXBTC15M-26SEP100530-30,btc-updown-15m-1789031700,A,2026-09-10T09:15:00+00:00,2026-09-10T09:30:00Z,0.78,0.78,1.22,2026-09-10T09:26:39.955152+00:00,up,up,1.0,0.22,2026-09-10T09:45:27.754659+00:00
ETH,KXETH15M-26SEP100530-30,eth-updown-15m-1789032600,A,2026-09-10T09:30:00+00:00,2026-09-10T09:30:00Z,0.411,0.411,1.54,2026-09-10T09:30:01.385972+00:00,up,down,0.0,-0.411,2026-09-10T09:49:57.415097+00:00
ETH,KXETH15M-26SEP100545-45,eth-updown-15m-1789033500,B,2026-09-10T09:45:00+00:00,2026-09-10T09:45:00Z,0.401,1.59,0.401,2026-09-10T09:45:26.585422+00:00,down,down,1.0,0.599,2026-09-10T10:03:04.090681+00:00
ETH,KXETH15M-26SEP100600-00,eth-updown-15m-1789033500,A,2026-09-10T09:45:00+00:00,2026-09-10T10:00:00Z,0.743,0.743,1.248,2026-09-10T09:57:02.321886+00:00,up,down,0.0,-0.743,2026-09-10T10:03:04.090681+00:00
BTC,KXBTC15M-26SEP100600-00,btc-updown-15m-1789033500,A,2026-09-10T09:45:00+00:00,2026-09-10T10:00:00Z,0.62,0.62,1.38,2026-09-10T09:57:02.321886+00:00,down,down,1.0,0.38,2026-09-10T10:06:35.432681+00:00
BTC,KXBTC15M-26SEP100615-15,btc-updown-15m-1789034400,A,2026-09-10T10:00:00+00:00,2026-09-10T10:15:00Z,0.75,0.75,1.25,2026-09-10T10:09:26.225162+00:00,up,up,1.0,0.25,2026-09-10T10:18:54.360416+00:00
ETH,KXETH15M-26SEP100630-30,eth-updown-15m-1789035300,A,2026-09-10T10:15:00+00:00,2026-09-10T10:30:00Z,0.78,0.78,1.19,2026-09-10T10:23:55.688400+00:00,down,down,1.0,0.22,2026-09-10T10:35:37.854017+00:00
BTC,KXBTC15M-26SEP100630-30,btc-updown-15m-1789035300,A,2026-09-10T10:15:00+00:00,2026-09-10T10:30:00Z,0.79,0.79,1.21,2026-09-10T10:23:39.662289+00:00,down,down,1.0,0.21,2026-09-10T10:37:00.892953+00:00
BTC,KXBTC15M-26SEP100645-45,btc-updown-15m-1789036200,B,2026-09-10T10:30:00+00:00,2026-09-10T10:45:00Z,0.78,1.22,0.78,2026-09-10T10:37:49.440547+00:00,up,up,1.0,0.22,2026-09-10T10:48:17.084081+00:00
ETH,KXETH15M-26SEP100645-45,eth-updown-15m-1789036200,B,2026-09-10T10:30:00+00:00,2026-09-10T10:45:00Z,0.68,1.28,0.68,2026-09-10T10:37:33.379221+00:00,up,up,1.0,0.32,2026-09-10T10:50:56.331067+00:00
BTC,KXBTC15M-26SEP100700-00,btc-updown-15m-1789037100,A,2026-09-10T10:45:00+00:00,2026-09-10T11:00:00Z,0.78,0.78,1.22,2026-09-10T10:47:01.929150+00:00,down,down,1.0,0.22,2026-09-10T11:03:16.000845+00:00
ETH,KXETH15M-26SEP100700-00,eth-updown-15m-1789037100,B,2026-09-10T10:45:00+00:00,2026-09-10T11:00:00Z,0.171,1.71,0.171,2026-09-10T10:56:38.865585+00:00,down,down,1.0,0.829,2026-09-10T11:04:44.627354+00:00
BTC,KXBTC15M-26SEP100745-45,btc-updown-15m-1789039800,A,2026-09-10T11:30:00+00:00,2026-09-10T11:45:00Z,0.38,0.38,1.62,2026-09-10T11:43:19.262481+00:00,down,down,1.0,0.62,2026-09-10T11:48:32.992238+00:00
ETH,KXETH15M-26SEP100745-45,eth-updown-15m-1789039800,A,2026-09-10T11:30:00+00:00,2026-09-10T11:45:00Z,0.76,0.76,1.24,2026-09-10T11:33:14.185653+00:00,up,up,1.0,0.24,2026-09-10T11:49:32.078748+00:00
ETH,KXETH15M-26SEP100800-00,eth-updown-15m-1789040700,A,2026-09-10T11:45:00+00:00,2026-09-10T12:00:00Z,0.78,0.78,1.22,2026-09-10T11:50:41.225960+00:00,down,down,1.0,0.22,2026-09-10T12:04:38.143096+00:00
BTC,KXBTC15M-26SEP100800-00,btc-updown-15m-1789041600,B,2026-09-10T12:00:00+00:00,2026-09-10T12:00:00Z,0.501,1.49,0.501,2026-09-10T12:00:20.785075+00:00,down,down,1.0,0.499,2026-09-10T12:20:07.424893+00:00
