asset,kalshi_ticker,poly_slug,direction,window_start,close_time,combined_cost,cost_a,cost_b,logged_at,kalshi_outcome,polymarket_outcome,payout,profit,settled_at
BTC,KXBTC15M-26SEP091200-00,btc-updown-15m-1788968700,A,2026-09-09T15:45:00+00:00,2026-09-09T16:00:00Z,0.76,0.76,1.24,2026-09-09T15:51:11.764100+00:00,down,down,1.0,0.24,2026-09-09T16:02:36.202006+00:00
ETH,KXETH15M-26SEP091200-00,eth-updown-15m-1788968700,A,2026-09-09T15:45:00+00:00,2026-09-09T16:00:00Z,0.79,0.79,1.21,2026-09-09T15:51:11.764100+00:00,down,down,1.0,0.21,2026-09-09T16:05:05.402349+00:00
ETH,KXETH15M-26SEP091215-15,eth-updown-15m-1788969600,B,2026-09-09T16:00:00+00:00,2026-09-09T16:15:00Z,0.74,1.28,0.74,2026-09-09T16:13:03.187917+00:00,up,up,1.0,0.26,2026-09-09T16:20:08.184136+00:00
BTC,KXBTC15M-26SEP091215-15,btc-updown-15m-1788969600,A,2026-09-09T16:00:00+00:00,2026-09-09T16:15:00Z,0.79,0.79,1.21,2026-09-09T16:08:50.226120+00:00,up,up,1.0,0.21,2026-09-09T16:20:20.151345+00:00
BTC,KXBTC15M-26SEP091230-30,btc-updown-15m-1788970500,A,2026-09-09T16:15:00+00:00,2026-09-09T16:30:00Z,0.77,0.77,1.23,2026-09-09T16:25:58.314382+00:00,down,down,1.0,0.23,2026-09-09T16:33:31.325870+00:00
ETH,KXETH15M-26SEP091230-30,eth-updown-15m-1788970500,A,2026-09-09T16:15:00+00:00,2026-09-09T16:30:00Z,0.78,0.78,1.21,2026-09-09T16:22:39.864508+00:00,down,down,1.0,0.22,2026-09-09T16:36:24.417030+00:00
BTC,KXBTC15M-26SEP091300-00,btc-updown-15m-1788972300,B,2026-09-09T16:45:00+00:00,2026-09-09T17:00:00Z,0.76,1.24,0.76,2026-09-09T16:58:30.048462+00:00,up,up,1.0,0.24,2026-09-09T17:05:35.019782+00:00
BTC,KXBTC15M-26SEP091315-15,btc-updown-15m-1788973200,B,2026-09-09T17:00:00+00:00,2026-09-09T17:15:00Z,0.79,1.21,0.79,2026-09-09T17:02:21.822297+00:00,up,up,1.0,0.21,2026-09-09T17:18:24.791887+00:00
ETH,KXETH15M-26SEP091300-00,eth-updown-15m-1788973200,B,2026-09-09T17:00:00+00:00,2026-09-09T17:00:00Z,0.541,1.45,0.541,2026-09-09T17:00:25.318073+00:00,down,up,0.0,-0.541,2026-09-09T17:20:45.379870+00:00
ETH,KXETH15M-26SEP091315-15,eth-updown-15m-1788973200,A,2026-09-09T17:00:00+00:00,2026-09-09T17:15:00Z,0.79,0.79,1.21,2026-09-09T17:03:41.997641+00:00,up,up,1.0,0.21,2026-09-09T17:20:45.379870+00:00
BTC,KXBTC15M-26SEP091330-30,btc-updown-15m-1788974100,B,2026-09-09T17:15:00+00:00,2026-09-09T17:30:00Z,0.78,1.22,0.78,2026-09-09T17:25:16.818406+00:00,down,down,1.0,0.22,2026-09-09T17:33:20.834737+00:00
ETH,KXETH15M-26SEP091330-30,eth-updown-15m-1788974100,B,2026-09-09T17:15:00+00:00,2026-09-09T17:30:00Z,0.75,1.25,0.75,2026-09-09T17:25:11.267639+00:00,up,up,1.0,0.25,2026-09-09T17:36:37.170918+00:00
BTC,KXBTC15M-26SEP091345-45,btc-updown-15m-1788975900,B,2026-09-09T17:45:00+00:00,2026-09-09T17:45:00Z,0.471,1.52,0.471,2026-09-09T17:45:25.317500+00:00,down,up,0.0,-0.471,2026-09-09T18:07:15.343290+00:00
ETH,KXETH15M-26SEP091415-15,eth-updown-15m-1788976800,A,2026-09-09T18:00:00+00:00,2026-09-09T18:15:00Z,0.76,0.76,1.24,2026-09-09T18:06:42.817937+00:00,down,down,1.0,0.24,2026-09-09T18:18:04.780175+00:00
BTC,KXBTC15M-26SEP091430-30,btc-updown-15m-1788977700,A,2026-09-09T18:15:00+00:00,2026-09-09T18:30:00Z,0.74,0.74,1.22,2026-09-09T18:22:27.405676+00:00,up,up,1.0,0.26,2026-09-09T18:33:42.848721+00:00
ETH,KXETH15M-26SEP091430-30,eth-updown-15m-1788977700,A,2026-09-09T18:15:00+00:00,2026-09-09T18:30:00Z,0.79,0.79,1.21,2026-09-09T18:19:31.457837+00:00,up,up,1.0,0.21,2026-09-09T18:34:16.093290+00:00
BTC,KXBTC15M-26SEP091445-45,btc-updown-15m-1788978600,A,2026-09-09T18:30:00+00:00,2026-09-09T18:45:00Z,0.75,0.75,1.25,2026-09-09T18:34:37.656704+00:00,down,down,1.0,0.25,2026-09-09T18:50:03.484560+00:00
BTC,KXBTC15M-26SEP091545-45,btc-updown-15m-1788982200,A,2026-09-09T19:30:00+00:00,2026-09-09T19:45:00Z,0.79,0.79,1.21,2026-09-09T19:35:27.903468+00:00,down,down,1.0,0.21,2026-09-09T19:55:00.079978+00:00
