asset,kalshi_ticker,poly_slug,direction,window_start,close_time,combined_cost,cost_a,cost_b,logged_at
ETH,KXETH15M-26SEP260015-15,eth-updown-15m-1790396100,A,2026-09-26T04:15:00+00:00,2026-09-26T04:15:00Z,0.581,0.581,1.4,2026-09-26T04:15:03.628653+00:00
ETH,KXETH15M-26SEP260030-30,eth-updown-15m-1790396100,A,2026-09-26T04:15:00+00:00,2026-09-26T04:30:00Z,0.76,0.76,1.24,2026-09-26T04:22:12.518075+00:00
BTC,KXBTC15M-26SEP260030-30,btc-updown-15m-1790396100,A,2026-09-26T04:15:00+00:00,2026-09-26T04:30:00Z,0.77,0.77,1.23,2026-09-26T04:22:44.701257+00:00
